"V1","V3"
"2048","Puzzle"
"7Krave","Food & Drink"
"AIDA64","Tools"
"Adblock Plus for Samsung Internet","Communication"
"Adobe Acrobat","Productivity"
"Adobe Fill & Sign","Productivity"
"Adobe Scan","Business"
"Agenda","Productivity"
"AirBrush","Photography"
"AliExpress","Shopping"
"Alison Courses","Education"
"Amazon Assistant","Shopping"
"Amazon Shopping","Shopping"
"AmoledPix","Personalization"
"Among Us","Action"
"AnkiDroid","Education"
"Antivirus Free","Tools"
"App Usage","Productivity"
"Apple Music","Music & Audio"
"Ash (Free)","Personalization"
"Audible","Books & Reference"
"Audio Video Cutter","Music & Audio"
"AudioClip","Entertainment"
"Audio­mack","Music & Audio"
"Authenticator","Business"
"AutomaTag","Music & Audio"
"Automate","Tools"
"Automate connectivity permissions","Productivity"
"Background Eraser","Photography"
"Badoo","Dating"
"Baidu","Tools"
"Bee.com","Educational"
"Betternet","Tools"
"BiP","Communication"
"Bible","Books & Reference"
"Bible KJV","Books & Reference"
"Bible.is","Books & Reference"
"Billo","Productivity"
"Bitmoji","Entertainment"
"Bleach","Action"
"Block! Hexa","Puzzle"
"Blockchain","Finance"
"Booking.com","Travel & Local"
"Boomerang","Photography"
"Browser","Tools"
"CEX.IO","Finance"
"Cadeau","Shopping"
"Calculator","Tools"
"Calculatrice","Tools"
"Calculatrice","Tools"
"Calendar","Productivity"
"Camera","Photography"
"Candy Crush Saga","Casual"
"Canva","Art & Design"
"Carat","Tools"
"Caro","Personalization"
"Charades","Card"
"CheatSheets","Books & Reference"
"Chinese Grammar","Education"
"Cipher Solver","Tools"
"Clavier Microsoft SwiftKey","Productivity"
"ClickUp","Productivity"
"Coffee","Photography"
"Color Picker","Tools"
"Community","Communication"
"Commute","Racing"
"Cooking Frenzy","Strategy"
"Crazy Eights 3D","Card"
"Cronometer","Health & Fitness"
"Crop and Trim Video","Video Players & Editors"
"Crunchyroll","Entertainment"
"D'Music","Music & Audio"
"DAVx⁵","Productivity"
"DUAL","Action"
"Daybook","Lifestyle"
"Deepstash","Education"
"Deezer","Music & Audio"
"Discord","Communication"
"Docs","Productivity"
"DoorwayMobile","Productivity"
"Download Twitter Videos","Tools"
"Dragon Crystal","Action"
"Dream League","Sports"
"Drive","Productivity"
"Du Chinese","Education"
"Duolingo","Education"
"Earth","Travel & Local"
"Easy Scanner","Business"
"Egg, Inc.","Simulation"
"Email","Productivity"
"Email","Productivity"
"Enregistreur vocal","Tools"
"Entrust ST","Tools"
"Epub Reader","Books & Reference"
"Eve","Health & Fitness"
"Exam Countdown","Education"
"Excel","Productivity"
"Expo Go","Productivity"
"Expéditions","Education"
"FLTR","Photography"
"Facebook","Social"
"Facetune 2","Photography"
"Fashion Nova","Shopping"
"Fast like a Fox","Adventure"
"Figma Mirror","Art & Design"
"File Manager","Tools"
"Files by Google","Tools"
"Find My Device","Tools"
"Fing","Tools"
"Fire Rides","Action"
"Firefox","Communication"
"Fit","Health & Fitness"
"Fitness Coach","Health & Fitness"
"Fiverr","Business"
"Flashcards","Education"
"Flo","Health & Fitness"
"Followers & Unfollowers","Social"
"Followers+","Social"
"Foxit PDF","Productivity"
"Fudget","Finance"
"Full Screen Gestures","Tools"
"GIF Maker-Editor","Photography"
"Galaxy Wearable","Tools"
"Gallery","Photography"
"Gboard","Tools"
"Genius","Music & Audio"
"Ghostery","Productivity"
"Ginoskos","Education"
"GitHub","Productivity"
"GlamLand","Role Playing"
"Glim Dark","Personalization"
"Gmail","Communication"
"GoLoud","Entertainment"
"Goals","Productivity"
"Google News","News & Magazines"
"Google Play Games","Entertainment"
"Google Play Movies & TV","Video Players & Editors"
"Google Play Music","Music & Audio"
"Google Play Services for AR","Tools"
"Google Play Musique","Music & Audio"
"Google Podcasts","Music & Audio"
"Google Play Films et TV","Video Players & Editors"
"Google Play Jeux","Entertainment"
"Google Podcasts","Music & Audio"
"Gradient","Photography"
"HDR Max","Photography"
"HSKOnline","Education"
"Habitica","Productivity"
"Hamster Tycoon","Simulation"
"Hangouts","Communication"
"Hangouts Dialer","Communication"
"Hash Droid","Tools"
"Heads Up!","Word"
"Hearthstone","Card"
"Hebrew/Greek Interlinear Bible","Books & Reference"
"Hello Food","Business"
"HelloTalk","Education"
"Hidden game","Casual"
"Highlight Cover Maker","Entertainment"
"Home","Lifestyle"
"Honey","Shopping"
"Hooked Inc","Simulation"
"Hourglass","Productivity"
"Houseparty","Social"
"Hungry Shark","Arcade"
"I Love Hue","Puzzle"
"IGTV","Entertainment"
"Image Converter","Tools"
"Insight Timer","Health & Fitness"
"Instagram","Social"
"Intellect","Health & Fitness"
"Iretro1967","Photography"
"Iriun Webcam","Tools"
"JA Sensei","Education"
"JPG to PDF Converter","Productivity"
"JSE","Finance"
"JW Library","Books & Reference"
"Jamdung","Trivia"
